Baseline_R2,Baseline+Fusion_R2,Baseline+Ordering_R2,Baseline+Ordering+Fusion_R2,Baseline_RSU4,Baseline+Fusion_RSU4,Baseline+Ordering_RSU4,Baseline+Ordering+Fusion_RSU4
0.27273,0.09091,0.09091,0.09091,0.27273,0.09091,0.09091,0.09091
0.05556,0,0.11111,0.05556,0.05556,0,0.11111,0.05556
0.51429,0.28571,0.74286,0.28571,0.51429,0.28571,0.74286,0.28571
0.77778,0.66667,0.77778,0.66667,0.77778,0.66667,0.77778,0.66667
0.33333,0.04167,0.20833,0.20833,0.33333,0.04167,0.20833,0.20833
0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333
0.17647,0.14706,0.14706,0.11765,0.17647,0.14706,0.14706,0.11765
0.36,0.32,0.36,0.52,0.36,0.32,0.36,0.52
0.12121,0.48485,0.72727,0.48485,0.12121,0.48485,0.72727,0.48485
0.5,0.4,0.5,0.6,0.5,0.4,0.5,0.6
1,1,1,1,1,1,1,1
1,0.375,0,0,1,0.375,0,0
0.06897,0.03448,0.03448,0.13793,0.06897,0.03448,0.03448,0.13793
0.69697,0.39394,0.60606,0.39394,0.69697,0.39394,0.60606,0.39394
0.13514,0.05405,0.59459,0.37838,0.13514,0.05405,0.59459,0.37838
1,0.5,0.9375,0.625,1,0.5,0.9375,0.625
0.17391,0.3913,0,0.3913,0.17391,0.3913,0,0.3913
1,0,0,0,1,0,0,0
0.3125,0.0625,0.9375,0.0625,0.3125,0.0625,0.9375,0.0625
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
1,0.14286,0.14286,0.14286,1,0.14286,0.14286,0.14286
1,0.07692,1,0.07692,1,0.07692,1,0.07692
0.075,0,0,0,0.075,0,0,0
0.03846,0,0,0.03846,0.03846,0,0,0.03846
0.875,0.25,0.875,0.25,0.875,0.25,0.875,0.25
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
0,0.07692,0,0,0,0.07692,0,0
0.05882,0.32353,0.32353,0.11765,0.05882,0.32353,0.32353,0.11765
0.5,0,0,0,0.5,0,0,0
0.94118,1,0.94118,0.82353,0.94118,1,0.94118,0.82353
1,0.4,1,0.4,1,0.4,1,0.4
0.04,0.24,0,0.24,0.04,0.24,0,0.24
0.15152,0.21212,0.09091,0.09091,0.15152,0.21212,0.09091,0.09091
0.38235,0.52941,0.94118,0.52941,0.38235,0.52941,0.94118,0.52941
0.6,0.6,0.2,0,0.6,0.6,0.2,0
0.23077,0.92308,0.92308,0.92308,0.23077,0.92308,0.92308,0.92308
0.22727,0.13636,0,0.13636,0.22727,0.13636,0,0.13636
0.35714,0.5,0.14286,0.07143,0.35714,0.5,0.14286,0.07143
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
0.25,0,0.25,0,0.25,0,0.25,0
0.06667,0.06667,0.1,0.06667,0.06667,0.06667,0.1,0.06667
0.35,0.05,0.05,0.075,0.35,0.05,0.05,0.075
0.08,0,0,0.44,0.08,0,0,0.44
0,0,0,0,0,0,0,0
0.625,0,0.625,0,0.625,0,0.625,0
0.95,0.55,0.45,0.55,0.95,0.55,0.45,0.55
0.16667,0.5,1,0.5,0.16667,0.5,1,0.5
0.16667,0.16667,0.08333,0.16667,0.16667,0.16667,0.08333,0.16667
0.03226,0,0,0.03226,0.03226,0,0,0.03226
0.66667,0,0.66667,0.66667,0.66667,0,0.66667,0.66667
0.83333,0.83333,0.83333,0.66667,0.83333,0.83333,0.83333,0.66667
0.2,0.3,1,0.4,0.2,0.3,1,0.4
0,0.04348,0.17391,0.04348,0,0.04348,0.17391,0.04348
0.4,0.2,1,0.36667,0.4,0.2,1,0.36667
0.03571,0.25,0,0.25,0.03571,0.25,0,0.25
0.31579,0.89474,0.05263,0.68421,0.31579,0.89474,0.05263,0.68421
0.09091,0.27273,0.06061,0.33333,0.09091,0.27273,0.06061,0.33333
0.4,0.1,0.1,0.1,0.4,0.1,0.1,0.1
0.06897,0.13793,0.13793,0.2069,0.06897,0.13793,0.13793,0.2069
0.72727,0.63636,0.63636,0.63636,0.72727,0.63636,0.63636,0.63636
0.625,0,0.46875,0,0.625,0,0.46875,0
0.61905,0.66667,0.33333,0.66667,0.61905,0.66667,0.33333,0.66667
0.2,0.2,0.28,0.2,0.2,0.2,0.28,0.2
0.78571,0.71429,0.71429,0.71429,0.78571,0.71429,0.71429,0.71429
0.125,0.125,0.3125,0.03125,0.125,0.125,0.3125,0.03125
0.28571,0.57143,0.85714,0.57143,0.28571,0.57143,0.85714,0.57143
1,0,0,0,1,0,0,0
0.6,0.2,0.6,0.2,0.6,0.2,0.6,0.2
0.3,0.3,0.7,0.3,0.3,0.3,0.7,0.3
0.27273,0.27273,0.27273,0.27273,0.27273,0.27273,0.27273,0.27273
1,0,1,0,1,0,1,0
0.5,0,0,0,0.5,0,0,0
0.77778,0.18519,0.33333,0.18519,0.77778,0.18519,0.33333,0.18519
0.09091,0.06061,0,0.06061,0.09091,0.06061,0,0.06061
0.21622,0.02703,0.78378,0.02703,0.21622,0.02703,0.78378,0.02703
1,0.21429,0.07143,0.21429,1,0.21429,0.07143,0.21429
0.77143,0.62857,0.4,0.62857,0.77143,0.62857,0.4,0.62857
0,0.125,0,0.25,0,0.125,0,0.25
0.75862,0.75862,0.2069,0.75862,0.75862,0.75862,0.2069,0.75862
0.07143,0,0,0.03571,0.07143,0,0,0.03571
0.07407,0.22222,1,0.22222,0.07407,0.22222,1,0.22222
0.06667,0.73333,0.06667,0.93333,0.06667,0.73333,0.06667,0.93333
0.42857,0.32143,0.21429,0.32143,0.42857,0.32143,0.21429,0.32143
0.08333,0.08333,0,0.08333,0.08333,0.08333,0,0.08333
0.11111,0.19444,0.94444,0.19444,0.11111,0.19444,0.94444,0.19444
0.11765,0.11765,0.41176,0,0.11765,0.11765,0.41176,0
0.06061,0.27273,0.72727,0.27273,0.06061,0.27273,0.72727,0.27273
0.05556,0.05556,1,0,0.05556,0.05556,1,0
0.03226,0.87097,1,0.87097,0.03226,0.87097,1,0.87097
0.4,0.4,0.2,0.2,0.4,0.4,0.2,0.2
1,0.7,1,0.7,1,0.7,1,0.7
0.06667,0.6,0.2,0.06667,0.06667,0.6,0.2,0.06667
0.23333,0.5,0.53333,0.5,0.23333,0.5,0.53333,0.5
0.875,0,0.25,0,0.875,0,0.25,0
0.55556,0.19444,0.38889,0.16667,0.55556,0.19444,0.38889,0.16667
0.78571,0.71429,0.14286,0,0.78571,0.71429,0.14286,0
0.07407,0.33333,0.07407,0.33333,0.07407,0.33333,0.07407,0.33333
0.33333,0.44444,0.55556,0.44444,0.33333,0.44444,0.55556,0.44444
0.36667,0.2,1,0.2,0.36667,0.2,1,0.2
1,0.09091,0.09091,0.09091,1,0.09091,0.09091,0.09091